coordinates	refseqid	gene	circn	run_hal01_test1a	run_697_r_test1a	run_hal01_r_test1a	run_hal01_r_test1c	run_hal01_test1c	run_hal01_test1d	run_hal01_test1b	run_697_r_test1c	run_hal01_r_test1b	run_697_test1c	run_697_r_test1b	run_697_test1e	run_697_r_test1d	run_hal01_r_test1d	run_697_test1a	run_697_test1d	
chr10:12123470-12155063	NM_018706	DHTKD1	hsa_circ_0017731	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	0
chr10:12123470-12162266	NM_018706	DHTKD1	hsa_circ_0007813	0	11	4	4	0	0	0	11	4	0	11	0	11	4	0	0
chr10:121285543-121286936	NM_002925	RGS10	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:12129533-12162266	NM_018706	DHTKD1	hsa_circ_0017735	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:121335202-121340050	NM_001033925	TIAL1	hsa_circ_0004498	0	7	0	0	0	0	0	7	0	0	7	0	7	0	0	0
chr10:121338237-121347760	NM_001033925	TIAL1	hsa_circ_0020181	5	2	2	2	5	5	5	2	2	0	2	0	2	2	0	0
chr10:12136071-12162266	NM_018706	DHTKD1	hsa_circ_0008826	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:12148244-12150014	NM_018706	DHTKD1	hsa_circ_0004155	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:121556226-121571467	NM_014937	INPP5F	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12159671-12162266	NM_018706	DHTKD1	unknown	0	7	5	5	0	0	0	7	5	0	7	0	7	5	0	0
chr10:121598046-121602107	NM_001256378	MCMBP	hsa_circ_0020190	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:121602765-121609088	NM_001256378	MCMBP	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12160747-12160917	NM_018706	DHTKD1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12160747-12162266	NM_018706	DHTKD1	hsa_circ_0000214	2	3	8	8	2	2	2	3	8	0	3	0	3	8	0	0
chr10:121662310-121663789	NM_007190	SEC23IP	hsa_circ_0020197	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:122618154-122643400	NR_049879	MIR5694	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:122650227-122662744	NR_049879	MIR5694	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:123298105-123325218	NM_001144914	FGFR2	unknown	0	13	0	0	0	0	0	13	0	0	13	0	13	0	0	0
chr10:123310803-123325218	NM_001144914	FGFR2	unknown	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:123324015-123325218	NM_001144914	FGFR2	hsa_circ_0020238	0	12	0	0	0	0	0	12	0	3	12	3	12	0	3	3
chr10:123658355-123673408	NM_001001976	ATE1	hsa_circ_0020252	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:123661905-123670666	NM_001001976	ATE1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:123673304-123683844	NM_001001976	ATE1	hsa_circ_0020254	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:123722752-123724900	NM_001167865	NSMCE4A	unknown	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:12442014-12445368	NM_020397	CAMK1D	hsa_circ_0000215	0	5	3	3	0	0	0	5	3	3	5	3	5	3	3	3
chr10:125771848-125806240	NM_015892	CHST15	hsa_circ_0020303	2	5	2	2	2	2	2	5	2	0	5	0	5	2	0	0
chr10:125798030-125805418	NM_015892	CHST15	unknown	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr10:125798030-125806240	NM_015892	CHST15	hsa_circ_0000264	20	20	47	47	20	20	20	20	47	3	20	3	20	47	3	3
chr10:126176990-126186697	NM_001167880	LHPP	hsa_circ_0003766	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:126370175-126370948	NM_014661	FAM53B	hsa_circ_0000267	7	15	45	45	7	7	7	15	45	0	15	0	15	45	0	0
chr10:126370175-126384781	NM_014661	FAM53B	hsa_circ_0003570	0	4	9	9	0	0	0	4	9	0	4	0	4	9	0	0
chr10:126370175-126395456	NM_014661	FAM53B	hsa_circ_0002282	2	3	13	13	2	2	2	3	13	0	3	0	3	13	0	0
chr10:126395204-126395456	NM_014661	FAM53B	hsa_circ_0005734	0	4	11	11	0	0	0	4	11	0	4	0	4	11	0	0
chr10:126628942-126655350	NM_017580	ZRANB1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:126631025-126631876	NM_017580	ZRANB1	hsa_circ_0000268	17	19	47	47	17	17	17	19	47	3	19	3	19	47	3	3
chr10:126776759-126799662	NM_001329	CTBP2	hsa_circ_0009087	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:12802946-12811798	NM_020397	CAMK1D	unknown	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr10:128768965-128788867	NM_001380	DOCK1	hsa_circ_0007142	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:128768965-128798571	NM_001380	DOCK1	hsa_circ_0002669	0	7	0	0	0	0	0	7	0	2	7	2	7	0	2	2
chr10:128806995-128810638	NM_001380	DOCK1	hsa_circ_0020433	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:128806995-128817099	NM_001380	DOCK1	hsa_circ_0003499	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:131400805-131434605	NM_002412	MGMT	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:131665404-131676113	NM_001005463	EBF3	unknown	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr10:131943474-131967754	NM_006541	GLRX3	hsa_circ_0020500	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:13214375-13214765	NM_018518	MCM10	hsa_circ_0002109	0	18	13	13	0	0	0	18	13	0	18	0	18	13	0	0
chr10:13214375-13217681	NM_018518	MCM10	hsa_circ_0000216	0	6	6	6	0	0	0	6	6	0	6	0	6	6	0	0
chr10:13214375-13222607	NM_018518	MCM10	unknown	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:13233298-13234568	NM_018518	MCM10	hsa_circ_0004477	0	6	4	4	0	0	0	6	4	0	6	0	6	4	0	0
chr10:13237040-13239767	NM_018518	MCM10	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:132915061-132932711	NM_174937	TCERG1L	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:132915061-132944923	NM_174937	TCERG1L	unknown	0	6	0	0	0	0	0	6	0	0	6	0	6	0	0	0
chr10:132932641-132944923	NM_174937	TCERG1L	hsa_circ_0020516	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr10:132932641-132965148	NM_174937	TCERG1L	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:133058521-133107562	NM_174937	TCERG1L	unknown	0	8	0	0	0	0	0	8	0	2	8	2	8	0	2	2
chr10:133106473-133107562	NM_174937	TCERG1L	unknown	0	7	0	0	0	0	0	7	0	0	7	0	7	0	0	0
chr10:134459371-134464009	NM_005539	INPP5A	hsa_circ_0020542	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr10:134503895-134563349	NM_005539	INPP5A	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:135211938-135213157	NM_138384	MTG1	hsa_circ_0003966	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:14562975-14572514	NM_031453	FAM107B	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:14938844-14939516	NM_001193424	SUV39H2	hsa_circ_0006780	0	2	0	0	0	0	0	2	0	3	2	3	2	0	3	3
chr10:14964979-14977563	NM_001033855	DCLRE1C	hsa_circ_0005697	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr10:14970014-14977563	NM_001033855	DCLRE1C	hsa_circ_0017829	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr10:15290637-15326104	NM_001010924	FAM171A1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:15317853-15326104	NM_001010924	FAM171A1	unknown	0	8	2	2	0	0	0	8	2	0	8	0	8	2	0	0
chr10:15573048-15617593	NM_003638	ITGA8	unknown	0	3	4	4	0	0	0	3	4	0	3	0	3	4	0	0
chr10:15573048-15617610	NM_003638	ITGA8	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:15573048-15628663	NM_003638	ITGA8	unknown	0	14	8	8	0	0	0	14	8	0	14	0	14	8	0	0
chr10:15573048-15634303	NM_003638	ITGA8	hsa_circ_0017836	2	22	15	15	2	2	2	22	15	8	22	8	22	15	8	8
chr10:15573048-15650289	NM_003638	ITGA8	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:15590453-15617593	NM_003638	ITGA8	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:15590453-15628663	NM_003638	ITGA8	unknown	5	21	20	20	5	5	5	21	20	0	21	0	21	20	0	0
chr10:15590453-15634303	NM_003638	ITGA8	unknown	4	42	25	25	4	4	4	42	25	6	42	6	42	25	6	6
chr10:15600072-15617593	NM_003638	ITGA8	unknown	0	10	2	2	0	0	0	10	2	2	10	2	10	2	2	2
chr10:15600072-15628663	NM_003638	ITGA8	unknown	0	17	17	17	0	0	0	17	17	0	17	0	17	17	0	0
chr10:15600072-15634303	NM_003638	ITGA8	hsa_circ_0017837	0	25	13	13	0	0	0	25	13	0	25	0	25	13	0	0
chr10:15600072-15639298	NM_003638	ITGA8	hsa_circ_0017838	3	10	4	4	3	3	3	10	4	0	10	0	10	4	0	0
chr10:15600072-15646354	NM_003638	ITGA8	unknown	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr10:15600072-15650289	NM_003638	ITGA8	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:15606361-15617593	NM_003638	ITGA8	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:15606361-15634303	NM_003638	ITGA8	unknown	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr10:15614209-15617593	NM_003638	ITGA8	unknown	5	10	4	4	5	5	5	10	4	2	10	2	10	4	2	2
chr10:15614209-15617610	NM_003638	ITGA8	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:15614209-15628663	NM_003638	ITGA8	unknown	5	22	13	13	5	5	5	22	13	0	22	0	22	13	0	0
chr10:15614209-15634303	NM_003638	ITGA8	unknown	0	21	17	17	0	0	0	21	17	0	21	0	21	17	0	0
chr10:15614209-15639298	NM_003638	ITGA8	unknown	2	16	8	8	2	2	2	16	8	0	16	0	16	8	0	0
chr10:15617487-15628663	NM_003638	ITGA8	unknown	2	15	9	9	2	2	2	15	9	4	15	4	15	9	4	4
chr10:15617487-15634303	NM_003638	ITGA8	unknown	0	54	30	30	0	0	0	54	30	0	54	0	54	30	0	0
chr10:15628582-15634303	NM_003638	ITGA8	unknown	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:15628582-15639298	NM_003638	ITGA8	unknown	0	14	2	2	0	0	0	14	2	0	14	0	14	2	0	0
chr10:15628582-15646354	NM_003638	ITGA8	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:15686028-15689050	NM_003638	ITGA8	unknown	0	6	3	3	0	0	0	6	3	0	6	0	6	3	0	0
chr10:15858833-15889942	NM_024948	MINDY3	hsa_circ_0000219	5	9	12	12	5	5	5	9	12	0	9	0	9	12	0	0
chr10:15863654-15885271	NM_024948	MINDY3	hsa_circ_0008178	2	5	6	6	2	2	2	5	6	0	5	0	5	6	0	0
chr10:15863654-15889942	NM_024948	MINDY3	hsa_circ_0000220	0	10	3	3	0	0	0	10	3	0	10	0	10	3	0	0
chr10:15875628-15889942	NM_024948	MINDY3	hsa_circ_0006665	2	9	11	11	2	2	2	9	11	0	9	0	9	11	0	0
chr10:16526335-16528616	NM_001001484	PTER	hsa_circ_0017854	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:16794537-16796988	NM_012425	RSU1	hsa_circ_0005767	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:16794537-16824083	NM_012425	RSU1	hsa_circ_0006577	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:1688193-1688748	NM_018702	ADARB2	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:17199439-17210916	NM_004412	TRDMT1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:17636203-17646046	NM_014241	HACD1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:17645558-17646046	NM_014241	HACD1	hsa_circ_0006751	0	8	13	13	0	0	0	8	13	0	8	0	8	13	0	0
chr10:17746429-17747740	NM_003473	STAM	hsa_circ_0008311	0	6	10	10	0	0	0	6	10	0	6	0	6	10	0	0
chr10:18898773-18931484	NM_182543	NSUN6	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:18931404-18937574	NM_182543	NSUN6	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:22002700-22016857	NM_004641	MLLT10	hsa_circ_0007084	3	5	15	15	3	3	3	5	15	0	5	0	5	15	0	0
chr10:225933-255988	NM_006624	ZMYND11	hsa_circ_0017359	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr10:225933-267296	NM_006624	ZMYND11	hsa_circ_0008225	0	11	17	17	0	0	0	11	17	0	11	0	11	17	0	0
chr10:22648339-22690206	NM_001253854	SPAG6	unknown	0	2	0	0	0	0	0	2	0	2	2	2	2	0	2	2
chr10:22653781-22680849	NM_001253854	SPAG6	unknown	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr10:22653781-22690206	NM_001253854	SPAG6	unknown	0	7	0	0	0	0	0	7	0	0	7	0	7	0	0	0
chr10:22675682-22690206	NM_001253854	SPAG6	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:25226112-25231365	NM_020200	PRTFDC1	hsa_circ_0017995	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr10:26781255-26792203	NM_019043	APBB1IP	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:26789747-26792203	NM_019043	APBB1IP	hsa_circ_0006063	4	4	13	13	4	4	4	4	13	0	4	0	4	13	0	0
chr10:26789747-26802589	NM_019043	APBB1IP	unknown	2	3	3	3	2	2	2	3	3	0	3	0	3	3	0	0
chr10:26792125-26800835	NM_019043	APBB1IP	unknown	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr10:26800675-26802589	NM_019043	APBB1IP	unknown	0	9	2	2	0	0	0	9	2	0	9	0	9	2	0	0
chr10:26800675-26830621	NM_019043	APBB1IP	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:26825002-26830621	NM_019043	APBB1IP	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:26994214-26998697	NM_014317	PDSS1	hsa_circ_0001963	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr10:27009063-27013056	NM_014317	PDSS1	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:27040526-27054247	NM_001012750	ABI1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:27065993-27066170	NM_001012750	ABI1	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:27447477-27450111	NM_001172303	MASTL	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:27453992-27454468	NM_001172303	MASTL	hsa_circ_0000225	0	7	2	2	0	0	0	7	2	0	7	0	7	2	0	0
chr10:27462049-27470510	NM_001172303	MASTL	hsa_circ_0006279	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:27469881-27470510	NM_001172303	MASTL	hsa_circ_0004809	0	3	6	6	0	0	0	3	6	0	3	0	3	6	0	0
chr10:27821435-27822923	NM_001256410	RAB18	hsa_circ_0000226	0	6	8	8	0	0	0	6	8	0	6	0	6	8	0	0
chr10:28408579-28420620	NM_173496	MPP7	unknown	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:28408579-28436492	NM_173496	MPP7	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:28436411-28438988	NM_173496	MPP7	unknown	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr10:28872327-28879761	NR_024557	unkn	hsa_circ_0018054	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr10:28872327-28884970	NR_024557	unkn	hsa_circ_0007503	0	4	7	7	0	0	0	4	7	0	4	0	4	7	0	0
